"","flight_joined.origin","flight_joined.year","flight_joined.month","flight_joined.day"
"8814","EWR",2013,1,22
"8815","EWR",2013,6,14
"8816","EWR",2013,4,9
"8817","JFK",2013,9,4
"8818","EWR",2013,10,24
"8819","JFK",2013,7,2
"8820","JFK",2013,3,21
"8821","LGA",2013,8,16
"8822","JFK",2013,7,5
"8823","LGA",2013,8,27
"8824","LGA",2013,2,23
"8825","EWR",2013,10,6
"8826","LGA",2013,9,1
"8827","JFK",2013,3,21
"8828","LGA",2013,1,21
"8829","LGA",2013,10,10
"8830","JFK",2013,3,8
"8831","EWR",2013,10,2
"8832","JFK",2013,6,16
"8833","JFK",2013,5,8
"8834","EWR",2013,5,9
"8835","LGA",2013,9,24
"8836","EWR",2013,12,25
"8837","EWR",2013,8,4
"8838","EWR",2013,11,9
"8839","LGA",2013,8,10
"8840","EWR",2013,3,13
"8841","EWR",2013,6,13
"8842","EWR",2013,3,12
"8843","EWR",2013,8,4
"8844","EWR",2013,7,15
"8845","JFK",2013,11,7
"8846","JFK",2013,12,30
"8847","LGA",2013,10,18
"8848","JFK",2013,1,18
"8849","EWR",2013,11,16
"8850","EWR",2013,6,3
"8851","EWR",2013,12,20
"8852","LGA",2013,7,29
"8853","JFK",2013,9,8
"8854","EWR",2013,7,31
"8855","LGA",2013,8,5
"8856","JFK",2013,12,8
"8857","JFK",2013,1,26
"8858","JFK",2013,11,22
"8859","EWR",2013,4,18
"8860","JFK",2013,2,21
"8861","LGA",2013,10,21
"8862","EWR",2013,11,5
"8863","JFK",2013,11,14
"8864","EWR",2013,3,18
"8865","JFK",2013,12,1
"8866","JFK",2013,9,4
"8867","JFK",2013,9,28
"8868","JFK",2013,6,20
"8869","EWR",2013,4,29
"8870","EWR",2013,11,27
"8871","LGA",2013,11,22
"8872","EWR",2013,10,16
"8873","LGA",2013,11,13
"8874","LGA",2013,6,8
"8875","LGA",2013,1,8
"8876","JFK",2013,8,4
"8877","EWR",2013,4,10
"8878","JFK",2013,3,4
"8879","EWR",2013,5,1
"8880","LGA",2013,2,20
"8881","JFK",2013,12,7
"8882","LGA",2013,5,1
"8883","LGA",2013,3,10
"8884","LGA",2013,9,11
"8885","JFK",2013,1,5
"8886","EWR",2013,5,12
"8887","EWR",2013,1,6
"8888","JFK",2013,12,7
"8889","EWR",2013,4,24
"8890","EWR",2013,2,4
"8891","JFK",2013,2,9
"8892","EWR",2013,9,11
"8893","EWR",2013,2,28
"8894","EWR",2013,12,8
"8895","JFK",2013,3,14
"8896","JFK",2013,7,10
"8897","LGA",2013,8,23
"8898","LGA",2013,12,19
"8899","EWR",2013,7,23
"8900","EWR",2013,12,12
"8901","LGA",2013,11,17
"8902","LGA",2013,7,1
"8903","JFK",2013,5,7
"8904","EWR",2013,9,22
"8905","EWR",2013,2,21
"8906","JFK",2013,3,27
"8907","JFK",2013,1,11
"8908","EWR",2013,9,23
"8909","EWR",2013,8,19
"8910","JFK",2013,5,29
"8911","EWR",2013,4,22
"8912","LGA",2013,10,28
"8913","EWR",2013,2,27
"8914","EWR",2013,1,13
"8915","JFK",2013,8,10
"8916","LGA",2013,10,15
"8917","LGA",2013,8,5
"8918","LGA",2013,12,12
"8919","EWR",2013,3,19
"8920","EWR",2013,9,2
"8921","LGA",2013,11,17
"8922","JFK",2013,9,12
"8923","EWR",2013,10,19
"8924","EWR",2013,3,7
"8925","LGA",2013,8,2
"8926","LGA",2013,6,26
"8927","EWR",2013,11,23
"8928","JFK",2013,3,23
"8929","JFK",2013,2,23
"8930","LGA",2013,8,13
"8931","EWR",2013,5,12
"8932","LGA",2013,3,23
"8933","JFK",2013,5,8
"8934","LGA",2013,11,23
"8935","JFK",2013,10,11
"8936","EWR",2013,2,4
"8937","JFK",2013,6,6
"8938","JFK",2013,8,3
"8939","EWR",2013,10,16
"8940","EWR",2013,7,3
"8941","EWR",2013,4,19
"8942","LGA",2013,8,23
"8943","LGA",2013,9,17
"8944","JFK",2013,11,4
"8945","EWR",2013,10,10
"8946","LGA",2013,4,25
"8947","JFK",2013,10,20
"8948","EWR",2013,8,16
"8949","EWR",2013,6,28
"8950","JFK",2013,4,12
"8951","EWR",2013,2,8
"8952","LGA",2013,10,19
"8953","LGA",2013,7,29
"8954","EWR",2013,12,13
"8955","LGA",2013,3,25
"8956","EWR",2013,5,3
"8957","EWR",2013,7,2
"8958","LGA",2013,7,6
"8959","JFK",2013,4,9
"8960","LGA",2013,7,9
"8961","LGA",2013,6,6
"8962","JFK",2013,6,3
"8963","EWR",2013,5,10
"8964","EWR",2013,1,12
"8965","JFK",2013,2,3
"8966","EWR",2013,3,14
"8967","JFK",2013,4,9
"8968","JFK",2013,5,30
"8969","JFK",2013,11,30
"8970","EWR",2013,6,21
"8971","EWR",2013,3,21
"8972","EWR",2013,3,29
"8973","EWR",2013,7,4
"8974","LGA",2013,9,16
"8975","EWR",2013,3,24
"8976","EWR",2013,11,30
"8977","JFK",2013,12,16
"8978","LGA",2013,12,13
"8979","JFK",2013,8,15
"8980","EWR",2013,8,8
"8981","EWR",2013,3,3
"8982","LGA",2013,9,26
"8983","EWR",2013,7,28
"8984","EWR",2013,8,10
"8985","LGA",2013,12,30
"8986","LGA",2013,11,1
"8987","EWR",2013,10,19
"8988","JFK",2013,7,18
"8989","JFK",2013,6,9
"8990","LGA",2013,6,6
"8991","EWR",2013,2,22
"8992","LGA",2013,8,24
"8993","JFK",2013,8,14
"8994","JFK",2013,5,3
"8995","LGA",2013,8,9
"8996","EWR",2013,6,21
"8997","JFK",2013,4,28
"8998","LGA",2013,2,25
"8999","JFK",2013,7,29
"9000","EWR",2013,1,20
"9001","JFK",2013,3,20
"9002","EWR",2013,12,11
"9003","EWR",2013,5,8
"9004","LGA",2013,11,11
"9005","LGA",2013,10,23
"9006","EWR",2013,7,1
"9007","EWR",2013,9,5
"9008","JFK",2013,7,5
"9009","JFK",2013,1,16
"9010","EWR",2013,9,11
"9011","LGA",2013,9,3
"9012","LGA",2013,1,27
"9013","LGA",2013,10,9
"9014","JFK",2013,10,18
"9015","LGA",2013,8,25
"9016","JFK",2013,1,12
"9017","JFK",2013,12,13
"9018","JFK",2013,1,18
"9019","LGA",2013,5,1
"9020","EWR",2013,4,28
"9021","EWR",2013,10,31
"9022","EWR",2013,11,23
"9023","JFK",2013,12,19
"9024","EWR",2013,8,24
"9025","EWR",2013,4,8
"9026","EWR",2013,10,30
"9027","JFK",2013,7,23
"9028","EWR",2013,7,1
"9029","EWR",2013,3,30
"9030","EWR",2013,11,21
"9031","EWR",2013,3,14
"9032","EWR",2013,4,15
"9033","LGA",2013,10,29
"9034","LGA",2013,2,9
"9035","JFK",2013,10,5
"9036","LGA",2013,8,24
"9037","EWR",2013,2,11
"9038","EWR",2013,5,22
"9039","LGA",2013,6,30
"9040","EWR",2013,2,2
"9041","EWR",2013,5,30
"9042","JFK",2013,4,20
"9043","LGA",2013,6,19
"9044","LGA",2013,5,15
"9045","JFK",2013,9,13
"9046","EWR",2013,3,19
"9047","LGA",2013,4,24
"9048","EWR",2013,4,25
"9049","EWR",2013,7,1
"9050","LGA",2013,4,6
"9051","LGA",2013,9,29
"9052","LGA",2013,9,13
"9053","EWR",2013,1,23
"9054","EWR",2013,8,14
"9055","EWR",2013,3,5
"9056","LGA",2013,7,3
"9057","LGA",2013,1,27
"9058","JFK",2013,9,23
"9059","JFK",2013,3,10
"9060","LGA",2013,9,29
"9061","JFK",2013,2,6
"9062","EWR",2013,1,7
"9063","EWR",2013,5,10
"9064","EWR",2013,8,30
"9065","LGA",2013,11,17
"9066","JFK",2013,8,5
"9067","EWR",2013,9,30
"9068","EWR",2013,3,24
"9069","EWR",2013,6,21
"9070","EWR",2013,5,18
"9071","JFK",2013,9,17
"9072","JFK",2013,10,24
"9073","EWR",2013,7,26
"9074","EWR",2013,5,19
"9075","EWR",2013,12,27
"9076","LGA",2013,7,26
"9077","JFK",2013,4,7
"9078","JFK",2013,2,23
"9079","JFK",2013,2,10
"9080","JFK",2013,7,24
"9081","EWR",2013,6,6
"9082","JFK",2013,4,30
"9083","JFK",2013,5,6
"9084","LGA",2013,3,15
"9085","LGA",2013,1,30
"9086","LGA",2013,12,1
"9087","EWR",2013,4,18
"9088","EWR",2013,10,16
"9089","LGA",2013,5,15
"9090","EWR",2013,9,9
"9091","EWR",2013,7,11
"9092","LGA",2013,6,28
"9093","LGA",2013,8,2
"9094","JFK",2013,6,23
"9095","JFK",2013,6,1
"9096","EWR",2013,6,19
"9097","JFK",2013,2,22
"9098","JFK",2013,12,2
"9099","LGA",2013,12,3
"9100","JFK",2013,6,13
"9101","JFK",2013,7,29
"9102","EWR",2013,10,14
"9103","JFK",2013,3,24
"9104","EWR",2013,12,1
"9105","LGA",2013,10,3
"9106","JFK",2013,11,10
"9107","EWR",2013,1,23
"9108","JFK",2013,9,2
"9109","EWR",2013,1,15
"9110","EWR",2013,6,7
"9111","EWR",2013,2,13
"9112","LGA",2013,4,18
"9113","LGA",2013,12,6
"9114","LGA",2013,2,26
"9115","LGA",2013,9,20
"9116","JFK",2013,8,9
"9117","EWR",2013,9,4
"9118","LGA",2013,9,30
"9119","EWR",2013,5,12
"9120","EWR",2013,5,15
"9121","EWR",2013,11,22
"9122","LGA",2013,4,1
"9123","JFK",2013,1,30
"9124","EWR",2013,3,9
"9125","LGA",2013,4,18
"9126","LGA",2013,8,3
"9127","EWR",2013,3,16
"9128","JFK",2013,6,2
"9129","LGA",2013,10,3
"9130","LGA",2013,3,29
"9131","EWR",2013,1,14
"9132","JFK",2013,10,31
"9133","LGA",2013,11,20
"9134","EWR",2013,9,22
"9135","JFK",2013,2,16
"9136","LGA",2013,12,13
"9137","EWR",2013,7,25
"9138","EWR",2013,1,23
"9139","JFK",2013,11,23
"9140","JFK",2013,9,1
"9141","LGA",2013,12,14
"9142","LGA",2013,9,26
"9143","JFK",2013,7,12
"9144","LGA",2013,5,14
"9145","EWR",2013,11,15
"9146","JFK",2013,10,7
"9147","JFK",2013,7,12
"9148","LGA",2013,3,15
"9149","EWR",2013,7,15
"9150","LGA",2013,9,14
"9151","LGA",2013,5,19
"9152","EWR",2013,9,3
"9153","EWR",2013,11,2
"9154","JFK",2013,3,2
"9155","EWR",2013,3,1
"9156","EWR",2013,8,3
"9157","JFK",2013,5,20
"9158","JFK",2013,11,23
"9159","EWR",2013,6,5
"9160","LGA",2013,5,10
"9161","LGA",2013,4,27
"9162","JFK",2013,5,2
"9163","LGA",2013,11,15
"9164","LGA",2013,11,24
"9165","EWR",2013,12,15
"9166","EWR",2013,1,26
"9167","EWR",2013,8,22
"9168","JFK",2013,7,6
"9169","JFK",2013,12,1
"9170","EWR",2013,11,17
"9171","JFK",2013,12,16
"9172","LGA",2013,7,17
"9173","JFK",2013,10,16
"9174","JFK",2013,7,22
"9175","LGA",2013,11,20
"9176","JFK",2013,3,20
"9177","EWR",2013,8,4
"9178","LGA",2013,8,3
"9179","JFK",2013,11,5
"9180","EWR",2013,10,7
"9181","JFK",2013,3,26
"9182","JFK",2013,11,24
"9183","JFK",2013,6,30
"9184","JFK",2013,7,19
"9185","EWR",2013,12,2
"9186","LGA",2013,5,28
"9187","LGA",2013,9,17
"9188","LGA",2013,5,15
"9189","JFK",2013,3,17
"9190","EWR",2013,1,23
"9191","LGA",2013,1,30
"9192","EWR",2013,9,23
"9193","LGA",2013,1,27
"9194","LGA",2013,4,25
"9195","LGA",2013,1,14
"9196","LGA",2013,11,18
"9197","JFK",2013,4,1
"9198","EWR",2013,3,11
"9199","JFK",2013,3,29
"9200","JFK",2013,10,3
"9201","LGA",2013,5,19
"9202","LGA",2013,8,8
"9203","JFK",2013,5,30
"9204","JFK",2013,7,5
"9205","JFK",2013,10,5
"9206","JFK",2013,4,30
"9207","LGA",2013,7,27
"9208","EWR",2013,1,9
"9209","LGA",2013,3,8
"9210","EWR",2013,11,24
"9211","JFK",2013,8,2
"9212","EWR",2013,5,30
"9213","LGA",2013,4,3
"9214","EWR",2013,1,26
"9215","JFK",2013,12,17
"9216","LGA",2013,2,16
"9217","JFK",2013,11,21
"9218","LGA",2013,10,28
"9219","EWR",2013,12,10
"9220","JFK",2013,6,11
"9221","JFK",2013,5,18
"9222","JFK",2013,5,20
"9223","LGA",2013,5,22
"9224","EWR",2013,2,14
"9225","LGA",2013,11,19
"9226","JFK",2013,9,24
"9227","EWR",2013,1,3
"9228","JFK",2013,3,15
"9229","JFK",2013,10,13
"9230","LGA",2013,11,22
"9231","JFK",2013,9,3
"9232","LGA",2013,7,28
"9233","LGA",2013,7,24
"9234","EWR",2013,4,23
"9235","JFK",2013,6,13
"9236","EWR",2013,3,5
"9237","EWR",2013,12,3
"9238","EWR",2013,9,30
"9239","LGA",2013,4,12
"9240","EWR",2013,3,15
"9241","JFK",2013,2,10
"9242","LGA",2013,11,4
"9243","EWR",2013,1,29
"9244","EWR",2013,9,15
"9245","LGA",2013,10,11
"9246","LGA",2013,8,3
"9247","LGA",2013,6,8
"9248","EWR",2013,7,21
"9249","EWR",2013,7,20
"9250","EWR",2013,6,8
"9251","LGA",2013,4,7
"9252","EWR",2013,12,25
"9253","LGA",2013,1,14
"9254","LGA",2013,2,13
"9255","LGA",2013,5,12
"9256","JFK",2013,9,3
"9257","LGA",2013,5,26
"9258","EWR",2013,6,21
"9259","EWR",2013,1,8
"9260","EWR",2013,11,8
"9261","JFK",2013,12,4
"9262","LGA",2013,1,13
"9263","EWR",2013,8,27
"9264","JFK",2013,1,12
"9265","JFK",2013,4,9
"9266","LGA",2013,4,16
"9267","LGA",2013,5,17
"9268","EWR",2013,10,16
"9269","EWR",2013,8,25
"9270","EWR",2013,7,14
"9271","EWR",2013,12,27
"9272","EWR",2013,8,3
"9273","LGA",2013,3,14
"9274","JFK",2013,12,1
"9275","EWR",2013,8,28
"9276","LGA",2013,11,5
"9277","EWR",2013,4,21
"9278","EWR",2013,9,4
"9279","JFK",2013,3,8
"9280","EWR",2013,6,11
"9281","LGA",2013,7,31
"9282","EWR",2013,5,2
"9283","JFK",2013,6,30
"9284","LGA",2013,9,24
"9285","LGA",2013,11,13
"9286","JFK",2013,7,14
"9287","LGA",2013,2,19
"9288","JFK",2013,3,8
"9289","JFK",2013,7,29
"9290","LGA",2013,6,7
"9291","JFK",2013,6,15
"9292","JFK",2013,3,18
"9293","JFK",2013,8,3
"9294","LGA",2013,10,16
"9295","JFK",2013,6,6
"9296","EWR",2013,3,21
"9297","JFK",2013,9,1
"9298","LGA",2013,10,22
"9299","EWR",2013,11,21
"9300","JFK",2013,10,13
"9301","EWR",2013,2,7
"9302","EWR",2013,3,7
"9303","LGA",2013,8,14
"9304","JFK",2013,1,11
"9305","EWR",2013,7,24
"9306","LGA",2013,6,2
"9307","LGA",2013,7,5
"9308","EWR",2013,12,19
"9309","EWR",2013,3,17
"9310","LGA",2013,5,28
"9311","EWR",2013,9,1
"9312","JFK",2013,2,15
"9313","LGA",2013,10,12
"9314","JFK",2013,5,19
"9315","EWR",2013,4,26
"9316","JFK",2013,9,11
"9317","LGA",2013,8,23
"9318","EWR",2013,2,28
"9319","JFK",2013,4,30
"9320","EWR",2013,7,27
"9321","LGA",2013,5,9
"9322","JFK",2013,12,30
"9323","LGA",2013,6,20
"9324","LGA",2013,9,2
"9325","JFK",2013,9,3
"9326","JFK",2013,8,31
"9327","JFK",2013,12,15
"9328","LGA",2013,5,7
"9329","EWR",2013,11,15
"9330","LGA",2013,1,28
"9331","LGA",2013,10,28
"9332","EWR",2013,4,29
"9333","EWR",2013,9,28
"9334","EWR",2013,6,2
"9335","JFK",2013,8,10
"9336","EWR",2013,2,11
"9337","JFK",2013,12,6
"9338","EWR",2013,8,12
"9339","LGA",2013,10,24
"9340","EWR",2013,7,19
"9341","EWR",2013,4,14
"9342","EWR",2013,4,22
"9343","LGA",2013,11,18
"9344","LGA",2013,7,23
"9345","JFK",2013,10,17
"9346","LGA",2013,6,3
"9347","LGA",2013,1,29
"9348","JFK",2013,5,11
"9349","EWR",2013,1,1
"9350","LGA",2013,10,9
"9351","EWR",2013,1,20
"9352","JFK",2013,9,27
"9353","EWR",2013,5,13
"9354","EWR",2013,7,10
"9355","LGA",2013,5,13
"9356","LGA",2013,2,22
"9357","JFK",2013,3,28
"9358","EWR",2013,6,21
"9359","JFK",2013,5,5
"9360","JFK",2013,11,2
"9361","LGA",2013,11,30
"9362","LGA",2013,10,24
"9363","LGA",2013,6,17
"9364","JFK",2013,9,6
"9365","LGA",2013,5,9
"9366","JFK",2013,12,9
"9367","EWR",2013,5,1
"9368","EWR",2013,11,25
"9369","JFK",2013,8,22
"9370","EWR",2013,1,5
"9371","LGA",2013,11,28
"9372","EWR",2013,10,7
"9373","LGA",2013,1,22
"9374","EWR",2013,2,16
"9375","JFK",2013,12,26
"9376","EWR",2013,8,7
"9377","LGA",2013,8,4
"9378","JFK",2013,3,31
"9379","JFK",2013,12,18
"9380","EWR",2013,8,29
"9381","JFK",2013,12,10
"9382","EWR",2013,1,25
"9383","JFK",2013,11,27
"9384","EWR",2013,2,27
"9385","JFK",2013,9,14
"9386","JFK",2013,11,13
"9387","JFK",2013,1,14
"9388","LGA",2013,11,26
"9389","EWR",2013,4,3
"9390","JFK",2013,8,3
"9391","LGA",2013,2,27
"9392","EWR",2013,10,15
"9393","EWR",2013,3,27
"9394","EWR",2013,12,20
"9395","JFK",2013,10,11
"9396","EWR",2013,6,17
"9397","LGA",2013,9,18
"9398","EWR",2013,6,16
"9399","LGA",2013,5,29
"9400","EWR",2013,4,6
"9401","LGA",2013,6,19
"9402","LGA",2013,6,26
"9403","LGA",2013,2,28
"9404","LGA",2013,3,13
"9405","JFK",2013,10,16
"9406","JFK",2013,10,11
"9407","EWR",2013,9,5
"9408","LGA",2013,10,23
"9409","LGA",2013,9,15
"9410","JFK",2013,3,1
"9411","LGA",2013,12,25
"9412","JFK",2013,4,13
"9413","EWR",2013,8,29
"9414","EWR",2013,1,15
"9415","EWR",2013,9,10
"9416","LGA",2013,1,2
"9417","LGA",2013,12,12
"9418","LGA",2013,12,2
"9419","JFK",2013,11,25
"9420","JFK",2013,11,16
"9421","EWR",2013,6,16
"9422","LGA",2013,11,25
"9423","JFK",2013,5,22
"9424","LGA",2013,8,8
"9425","JFK",2013,11,4
"9426","LGA",2013,3,28
"9427","JFK",2013,4,8
"9428","EWR",2013,9,17
"9429","EWR",2013,9,5
"9430","JFK",2013,6,25
"9431","JFK",2013,9,18
"9432","EWR",2013,5,27
"9433","LGA",2013,8,18
"9434","LGA",2013,10,25
"9435","LGA",2013,6,14
"9436","EWR",2013,12,17
"9437","LGA",2013,8,21
"9438","EWR",2013,11,1
"9439","JFK",2013,10,12
"9440","EWR",2013,9,9
"9441","LGA",2013,7,3
"9442","JFK",2013,9,16
"9443","LGA",2013,2,18
"9444","JFK",2013,8,5
"9445","EWR",2013,3,19
"9446","JFK",2013,3,19
"9447","LGA",2013,4,4
"9448","LGA",2013,6,19
"9449","EWR",2013,10,18
"9450","LGA",2013,1,31
"9451","JFK",2013,7,13
"9452","JFK",2013,8,10
"9453","JFK",2013,11,3
"9454","EWR",2013,5,2
"9455","JFK",2013,4,26
"9456","LGA",2013,5,18
"9457","JFK",2013,3,17
"9458","JFK",2013,11,13
"9459","EWR",2013,8,21
"9460","JFK",2013,2,21
"9461","EWR",2013,7,12
"9462","LGA",2013,12,9
"9463","LGA",2013,4,27
"9464","JFK",2013,3,7
"9465","LGA",2013,8,7
"9466","EWR",2013,1,7
"9467","JFK",2013,12,10
"9468","JFK",2013,3,26
"9469","EWR",2013,11,28
"9470","JFK",2013,4,17
"9471","LGA",2013,8,1
"9472","JFK",2013,5,29
"9473","LGA",2013,1,11
"9474","EWR",2013,7,23
"9475","JFK",2013,8,18
"9476","LGA",2013,2,1
"9477","LGA",2013,12,2
"9478","EWR",2013,1,22
"9479","JFK",2013,3,13
"9480","JFK",2013,8,25
"9481","JFK",2013,7,29
"9482","JFK",2013,7,26
"9483","JFK",2013,6,23
"9484","LGA",2013,5,1
"9485","EWR",2013,12,22
"9486","JFK",2013,10,31
"9487","LGA",2013,10,17
"9488","JFK",2013,11,4
"9489","JFK",2013,4,9
"9490","LGA",2013,6,13
"9491","JFK",2013,1,4
"9492","EWR",2013,1,5
"9493","JFK",2013,6,21
"9494","JFK",2013,3,18
"9495","EWR",2013,6,27
"9496","LGA",2013,11,12
"9497","JFK",2013,5,19
"9498","JFK",2013,7,4
"9499","JFK",2013,9,26
"9500","EWR",2013,9,7
"9501","LGA",2013,5,17
"9502","EWR",2013,7,4
"9503","EWR",2013,6,26
"9504","LGA",2013,11,21
"9505","EWR",2013,8,18
"9506","JFK",2013,7,29
"9507","JFK",2013,11,8
"9508","JFK",2013,5,18
"9509","LGA",2013,10,31
"9510","JFK",2013,8,27
"9511","EWR",2013,10,8
"9512","JFK",2013,7,22
"9513","EWR",2013,2,13
"9514","EWR",2013,7,9
"9515","EWR",2013,9,15
"9516","EWR",2013,10,10
"9517","LGA",2013,1,4
"9518","EWR",2013,2,10
"9519","JFK",2013,5,5
"9520","JFK",2013,4,17
"9521","JFK",2013,1,23
"9522","LGA",2013,9,26
"9523","JFK",2013,9,11
"9524","EWR",2013,11,18
"9525","JFK",2013,4,12
"9526","JFK",2013,10,24
"9527","LGA",2013,8,27
"9528","EWR",2013,9,30
"9529","EWR",2013,8,30
"9530","EWR",2013,11,23
"9531","JFK",2013,4,27
"9532","LGA",2013,12,8
"9533","JFK",2013,2,11
"9534","JFK",2013,5,21
"9535","JFK",2013,10,24
"9536","LGA",2013,9,21
"9537","LGA",2013,6,19
"9538","JFK",2013,12,4
"9539","EWR",2013,8,6
"9540","JFK",2013,11,6
"9541","EWR",2013,12,2
"9542","LGA",2013,12,10
"9543","EWR",2013,4,4
"9544","LGA",2013,11,11
"9545","LGA",2013,9,23
"9546","EWR",2013,9,16
"9547","JFK",2013,1,13
"9548","LGA",2013,3,4
"9549","LGA",2013,6,29
"9550","JFK",2013,8,23
"9551","JFK",2013,12,20
"9552","LGA",2013,3,17
"9553","EWR",2013,11,12
"9554","JFK",2013,9,12
"9555","EWR",2013,12,13
"9556","JFK",2013,3,18
"9557","JFK",2013,5,20
"9558","EWR",2013,6,21
"9559","LGA",2013,8,2
"9560","LGA",2013,5,3
"9561","LGA",2013,4,29
"9562","JFK",2013,5,7
"9563","JFK",2013,9,30
"9564","JFK",2013,5,30
"9565","EWR",2013,5,24
"9566","JFK",2013,4,15
"9567","JFK",2013,6,25
"9568","LGA",2013,12,1
"9569","EWR",2013,9,22
"9570","EWR",2013,5,10
"9571","EWR",2013,2,2
"9572","EWR",2013,8,18
"9573","LGA",2013,11,17
"9574","LGA",2013,12,11
"9575","LGA",2013,4,24
"9576","EWR",2013,5,19
"9577","JFK",2013,12,4
"9578","JFK",2013,4,3
"9579","JFK",2013,5,8
"9580","LGA",2013,10,25
"9581","LGA",2013,8,18
"9582","LGA",2013,3,2
"9583","LGA",2013,4,15
"9584","JFK",2013,3,9
"9585","JFK",2013,3,6
"9586","LGA",2013,3,28
"9587","EWR",2013,12,6
"9588","JFK",2013,12,8
"9589","JFK",2013,7,16
"9590","JFK",2013,8,18
"9591","LGA",2013,3,6
"9592","EWR",2013,4,4
"9593","LGA",2013,1,12
"9594","LGA",2013,11,6
"9595","LGA",2013,7,20
"9596","LGA",2013,4,10
"9597","JFK",2013,6,12
"9598","EWR",2013,12,3
"9599","LGA",2013,3,30
"9600","JFK",2013,4,25
"9601","JFK",2013,10,8
"9602","EWR",2013,10,21
"9603","LGA",2013,12,1
"9604","LGA",2013,1,17
"9605","LGA",2013,7,6
"9606","EWR",2013,10,10
"9607","JFK",2013,2,12
"9608","EWR",2013,11,7
"9609","LGA",2013,3,8
"9610","EWR",2013,4,9
"9611","LGA",2013,7,1
"9612","EWR",2013,11,9
"9613","LGA",2013,10,22
"9614","LGA",2013,8,11
"9615","LGA",2013,11,18
"9616","LGA",2013,8,19
"9617","LGA",2013,6,11
"9618","EWR",2013,11,20
"9619","EWR",2013,7,17
"9620","EWR",2013,7,26
"9621","LGA",2013,6,1
"9622","LGA",2013,2,7
"9623","JFK",2013,8,18
"9624","LGA",2013,4,15
"9625","LGA",2013,8,25
"9626","LGA",2013,9,14
"9627","EWR",2013,7,19
"9628","JFK",2013,2,2
"9629","JFK",2013,10,14
"9630","LGA",2013,3,6
"9631","LGA",2013,9,26
"9632","JFK",2013,8,30
"9633","JFK",2013,3,29
"9634","LGA",2013,6,9
"9635","JFK",2013,8,1
"9636","LGA",2013,8,17
"9637","JFK",2013,12,9
"9638","JFK",2013,10,27
"9639","LGA",2013,3,11
"9640","LGA",2013,2,24
"9641","LGA",2013,4,16
"9642","EWR",2013,3,14
"9643","EWR",2013,10,15
"9644","LGA",2013,7,28
"9645","JFK",2013,1,11
"9646","LGA",2013,10,21
"9647","LGA",2013,11,1
"9648","JFK",2013,3,1
"9649","LGA",2013,11,17
"9650","JFK",2013,7,27
"9651","JFK",2013,11,14
"9652","LGA",2013,2,13
"9653","LGA",2013,12,10
"9654","EWR",2013,5,29
"9655","EWR",2013,8,11
"9656","JFK",2013,4,9
"9657","EWR",2013,10,18
"9658","JFK",2013,12,10
"9659","EWR",2013,12,16
"9660","LGA",2013,7,28
"9661","EWR",2013,10,17
"9662","JFK",2013,6,9
"9663","LGA",2013,8,26
"9664","EWR",2013,1,31
"9665","LGA",2013,8,12
"9666","JFK",2013,5,19
"9667","EWR",2013,9,11
"9668","EWR",2013,12,25
"9669","JFK",2013,10,2
"9670","LGA",2013,4,30
"9671","JFK",2013,12,7
"9672","JFK",2013,11,5
"9673","JFK",2013,3,9
"9674","JFK",2013,8,31
"9675","JFK",2013,6,28
"9676","LGA",2013,9,20
"9677","JFK",2013,8,5
"9678","JFK",2013,5,2
"9679","LGA",2013,10,17
"9680","EWR",2013,5,7
"9681","JFK",2013,9,5
"9682","LGA",2013,11,8
"9683","EWR",2013,3,22
"9684","JFK",2013,12,30
"9685","EWR",2013,10,31
"9686","JFK",2013,6,12
"9687","JFK",2013,8,29
"9688","EWR",2013,5,9
"9689","EWR",2013,1,13
"9690","EWR",2013,5,21
"9691","EWR",2013,2,28
"9692","EWR",2013,3,14
"9693","LGA",2013,7,18
"9694","LGA",2013,8,30
"9695","EWR",2013,6,19
"9696","JFK",2013,9,16
"9697","EWR",2013,5,7
"9698","EWR",2013,3,18
"9699","LGA",2013,4,23
"9700","LGA",2013,2,18
"9701","LGA",2013,6,11
"9702","LGA",2013,12,9
"9703","JFK",2013,8,15
"9704","LGA",2013,5,2
"9705","JFK",2013,3,10
"9706","EWR",2013,8,19
"9707","JFK",2013,7,17
"9708","EWR",2013,9,18
"9709","JFK",2013,4,8
"9710","JFK",2013,11,9
"9711","LGA",2013,9,3
"9712","EWR",2013,12,29
"9713","EWR",2013,2,24
"9714","LGA",2013,3,13
"9715","JFK",2013,4,6
"9716","LGA",2013,8,23
"9717","EWR",2013,9,4
"9718","EWR",2013,5,10
"9719","LGA",2013,6,21
"9720","LGA",2013,10,31
"9721","LGA",2013,1,24
"9722","EWR",2013,6,13
"9723","EWR",2013,9,27
"9724","LGA",2013,12,28
"9725","LGA",2013,12,10
"9726","JFK",2013,6,27
"9727","EWR",2013,9,24
"9728","LGA",2013,10,17
"9729","EWR",2013,8,23
"9730","JFK",2013,8,9
"9731","EWR",2013,9,28
"9732","JFK",2013,1,29
"9733","EWR",2013,2,10
"9734","EWR",2013,3,23
"9735","JFK",2013,4,3
"9736","LGA",2013,8,17
"9737","JFK",2013,7,3
"9738","JFK",2013,10,27
"9739","JFK",2013,9,21
"9740","EWR",2013,4,14
"9741","JFK",2013,10,23
"9742","LGA",2013,5,8
"9743","EWR",2013,4,30
